"PROD_ID","qty_semana","media_preco_semana","dia","qty","preco","date","qty_anterior","hora","mes","semana","dia_da_semana_num","C1","C2","C3","C4","C5","C6"
"P7",8490,818.574487632509,171,607,749,2015-06-20,985,8,6,24,6,783,783,783,748,911,749
"P3",32,1321.3509375,162,4,1288.92,2015-06-11,6,20,6,23,4,1169.1,1278.88,NA,NA,NA,NA
"P9",88,485.890795454545,192,16,457,2015-07-11,20,8,7,27,6,463,422.01,458.99,NA,474.05,NA
"P8",1613,409.27877867328,286,528,379,2015-10-13,246,20,10,41,2,393,393,393,NA,NA,399.99
"P5",348,829.300890804598,205,16,878,2015-07-24,47,8,7,29,5,1039,931.9,1039,NA,NA,NA
"P2",456,718.451184210526,226,56,681,2015-08-14,57,8,8,32,5,674.93,674.93,674.93,799,NA,729
"P9",1113,427.85850853549,284,86,388.89,2015-10-11,123,8,10,40,7,395.82,395.83,395.82,NA,500.72,399.99
"P2",523,726.560497131931,166,61,713.77,2015-06-15,37,8,6,24,1,NA,NA,688.99,649,799,699
"P7",567,777.773968253968,241,40,779,2015-08-29,42,20,8,34,6,699,699,699,789.9,801,NA
"P3",51,1279.95784313725,258,7,1098,2015-09-15,2,20,9,37,2,1278.99,1166.96,1278.99,1319.12,NA,1139
"P7",3059,870.915096436744,110,474,799,2015-04-20,150,20,4,16,1,879,879,879,879,NA,849
"P5",43,925.090930232558,159,12,894.97,2015-06-08,12,8,6,23,1,933.99,933.99,933.99,NA,NA,NA
"P9",88,485.890795454545,193,8,457,2015-07-12,16,20,7,27,7,458,431.1,454.98,NA,474.05,NA
"P4",464,747.806853448276,180,49,493,2015-06-29,58,20,6,26,1,NA,NA,NA,569,NA,629.9
"P6",81,1819.41185185185,164,9,1758.9,2015-06-13,8,8,6,23,6,1768.95,1768.95,1768.95,NA,NA,1999
"P2",559,671.358050089445,266,100,665.85,2015-09-23,61,8,9,38,3,NA,NA,609,799.9,NA,799.9
"P7",4301,779.435989304813,203,258,749,2015-07-22,741,20,7,29,3,789,789,746.98,729,841,749
"P7",1808,834.713938053097,154,296,799,2015-06-03,299,20,6,22,3,NA,NA,NA,759,738.63,NA
"P8",2445,406.591967280164,244,947,379,2015-09-01,413,8,9,35,2,431,431,431,479,NA,NA
"P2",7217,705.699577386726,230,1360,610,2015-08-18,102,8,8,33,2,718.99,718.99,718.99,799,NA,698.9
"P3",51,1279.95784313725,261,6,1296.62,2015-09-18,5,8,9,37,5,1139,1139,1139,1499,NA,1139
"P2",1490,659.123563758389,256,98,664.99,2015-09-13,88,20,9,36,7,NA,NA,610.98,799,NA,679.9
"P3",21,1290.43333333333,240,2,1274.9,2015-08-28,1,8,8,34,5,968.19,999,NA,NA,NA,NA
"P4",46,577.56847826087,216,7,569,2015-08-04,6,20,8,31,2,NA,NA,NA,499.9,NA,NA
"P8",352,502.102755681818,158,34,499,2015-06-07,31,8,6,22,7,513.99,513.99,455.05,498,NA,493.93
"P9",522,450.505191570881,216,37,435,2015-08-04,23,20,8,31,2,434,434,413.16,NA,439.12,449.9
"P2",1145,811.146375545852,58,152,829,2015-02-27,268,20,2,8,5,798.99,798.99,798.99,829,NA,879
"P8",1365,449.043684981685,145,71,469,2015-05-25,17,20,5,21,1,431.1,431.1,518.99,469,NA,494
"P7",1257,868.525202863962,18,114,849,2015-01-18,413,20,1,2,7,NA,NA,NA,747.12,849,NA
"P1",146,1452.905,168,9,1499,2015-06-17,46,20,6,24,3,1349.1,1349.1,1349.1,NA,1424.05,NA
"P4",101,546.113267326733,236,16,499.9,2015-08-24,10,20,8,34,1,NA,NA,NA,529.9,NA,NA
"P3",26,1152.29230769231,276,6,1166.96,2015-10-03,6,20,10,39,6,999,1034.1,NA,NA,NA,NA
"P6",83,1933.27734939759,16,23,1898.98,2015-01-16,13,20,1,2,5,1940,1996.2,1979,NA,NA,2369.9
"P3",56,1388.93142857143,91,8,1390,2015-04-01,7,9,4,13,3,1498.99,1498.99,1498.99,1499,1499,1349.1
"P4",225,570.547511111111,152,43,540.55,2015-06-01,18,8,6,22,1,NA,NA,NA,569,NA,499
"P8",443,495.175643340858,174,68,479,2015-06-23,27,8,6,25,2,478.99,431.1,468.9,479,NA,490.78
"P6",61,1810.50114754098,110,18,1783,2015-04-20,9,8,4,16,1,1766,1766,1766,NA,NA,1799
"P4",2050,655.583424390244,125,75,569,2015-05-05,879,20,5,18,2,NA,NA,NA,569,NA,499
"P1",112,1438.58660714286,102,32,1399,2015-04-12,20,20,4,14,7,1499,1499,1499,NA,1499,1499
"P8",463,489.982181425486,182,43,479,2015-07-01,56,8,7,26,3,468.99,468.99,468.99,479,NA,493.47
"P2",4797,726.168424015009,121,845,699,2015-05-01,952,20,5,17,5,NA,NA,698.9,929,849,749
"P7",5495,758.149040946315,265,890,699,2015-09-22,99,8,9,38,2,NA,NA,NA,699.9,811,NA
"P6",25,1763.3388,182,3,1763.6,2015-07-01,2,8,7,26,3,1799,1789.9,1789.9,NA,NA,NA
"P9",1260,424.76126984127,269,39,397.99,2015-09-26,53,8,9,38,6,399.9,399.9,399.9,NA,465.52,439.99
"P6",47,1878.21276595745,139,6,1833.45,2015-05-19,8,20,5,20,2,1899,1899,1833.9,NA,NA,1999
"P3",35,1247.42142857143,255,1,1296.62,2015-09-12,4,20,9,36,6,1232.15,1232.15,NA,NA,NA,NA
"P1",146,1452.905,170,10,1499,2015-06-19,24,8,6,24,5,1259.1,1259.1,1259.1,NA,1424.05,NA
"P1",87,1404.25264367816,111,15,1399,2015-04-21,12,20,4,16,2,1349,1899,NA,NA,1499,1499
"P7",5126,875.25097541943,53,521,849,2015-02-22,724,8,2,7,7,NA,NA,NA,849,NA,NA
"P7",6172,835.465641607259,147,3239,749,2015-05-27,1820,20,5,21,3,779,779,779,749,849,789
"P3",136,1314.99514705882,106,7,1368,2015-04-16,9,20,4,15,4,1298.88,1298.89,NA,NA,NA,NA
"P2",359,875.231086350975,44,45,879,2015-02-13,68,20,2,6,5,799,799,788,829,NA,879
"P9",522,450.505191570881,215,23,435,2015-08-03,20,20,8,31,1,424.8,424.8,413.16,NA,439.12,439.9
"P4",464,747.806853448276,181,49,490,2015-06-30,49,8,6,26,2,NA,NA,NA,569,NA,NA
"P6",734,1711.29878746594,38,11,1886.73,2015-02-07,55,20,2,5,6,1887.96,1887.96,1887.96,2199,NA,1999.9
"P2",2067,758.173439767779,104,604,729,2015-04-14,191,9,4,15,2,NA,NA,749,879,738.63,748
"P2",6578,717.697702949225,145,62,799,2015-05-25,29,20,5,21,1,NA,NA,701.1,699,738.63,749
"P7",6172,835.465641607259,148,573,749,2015-05-28,3239,8,5,21,4,779,779,779,749,849,789
"P9",49,494.429387755102,180,1,539,2015-06-29,2,8,6,26,1,478.8,478.8,422.01,NA,521.13,490.78
"P7",1978,898.12552578362,88,298,849,2015-03-29,244,20,3,12,7,NA,NA,NA,849,849,NA
"P3",131,1303.16732824427,136,16,1287.89,2015-05-16,16,20,5,19,6,1219,1219,NA,NA,NA,NA
"P5",2310,791.940264069264,189,395,749,2015-07-08,532,20,7,27,3,798,798,749,NA,NA,NA
"P9",138,457.352463768116,207,14,439,2015-07-26,21,8,7,29,7,438,438,437.12,NA,439.12,449.9
"P3",116,1173.66068965517,180,5,1239,2015-06-29,4,8,6,26,1,1098,1098,NA,NA,NA,NA
"P3",62,1237.91870967742,175,14,1198.9,2015-06-24,10,8,6,25,3,1143.11,1143.11,NA,NA,NA,NA
"P3",35,1247.42142857143,250,1,1319,2015-09-07,3,20,9,36,1,1002.32,1018.98,NA,NA,NA,NA
"P8",2445,406.591967280164,245,907,379,2015-09-02,947,8,9,35,3,431.99,431.99,433.01,479,NA,449
"P1",109,1550.49009174312,202,21,1499,2015-07-21,20,20,7,29,2,1322.12,1295.68,1499,NA,1424.05,NA
"P6",94,1843.06329787234,109,9,1784.95,2015-04-19,5,20,4,15,7,1699,1699,1766,NA,NA,1799
"P6",83,1933.27734939759,15,13,1898.98,2015-01-15,7,20,1,2,4,1999,1756.74,1796.67,NA,NA,2369.9
"P7",2189,765.262188213796,286,585,699,2015-10-13,25,20,10,41,2,NA,NA,NA,699.9,861,NA
"P5",155,822.991806451613,181,32,795,2015-06-30,26,20,6,26,2,796.99,796.99,796.99,NA,NA,NA
"P8",410,486.18956097561,171,30,479,2015-06-20,23,8,6,24,6,431.1,431.1,422.01,479,NA,491.58
"P2",523,726.560497131931,167,54,713.73,2015-06-16,61,20,6,24,2,NA,NA,688.9,665,NA,689.9
"P2",7217,705.699577386726,229,102,678.995,2015-08-17,44,20,8,33,1,NA,NA,677.97,719.1,NA,699
"P4",128,602.484375,229,9,529.9,2015-08-17,9,8,8,33,1,NA,NA,NA,499,NA,NA
"P3",35,1247.42142857143,252,8,1262.53,2015-09-09,5,8,9,36,3,1139,1232.49,NA,NA,NA,NA
"P3",101,1451.90584158416,77,18,1499,2015-03-18,17,8,3,11,3,1499,1499,NA,NA,1312.32,NA
"P9",1260,424.76126984127,267,388,399,2015-09-24,481,8,9,38,4,399,399,428.98,NA,529,439.99
"P7",3440,763.527345930233,250,47,779,2015-09-07,571,20,9,36,1,NA,NA,NA,701.91,704.88,NA
"P2",1654,771.888796856106,67,146,749,2015-03-08,661,8,3,9,7,699,699,699,829,NA,NA
"P7",4874,738.317166598277,259,667,699,2015-09-16,831,8,9,37,3,NA,NA,NA,699.9,811,NA
"P6",53,1746.68339622642,231,13,1673.93,2015-08-19,15,20,8,33,3,1663.14,1503,1503,1499,NA,1999
"P9",846,450.919763593381,146,147,443.33,2015-05-26,60,8,5,21,2,479,431.1,387.99,NA,599,494
"P4",412,794.489660194175,255,33,512.1,2015-09-12,20,20,9,36,6,NA,NA,NA,NA,NA,655
"P2",1236,709.165954692557,193,32,699.99,2015-07-12,138,8,7,27,7,699,699,648.9,649.9,NA,NA
"P9",197,489.450456852792,167,45,479,2015-06-16,59,8,6,24,2,513.87,513.87,513.87,NA,599,479
"P6",35,1601.18857142857,246,3,1999,2015-09-03,4,8,9,35,4,1499,1669.56,1669.56,1499,NA,1999
"P6",38,1725.92894736842,216,2,1688.165,2015-08-04,3,20,8,31,2,1899,1899,1899,NA,NA,1999
"P3",94,1248.56968085106,172,7,1219.97,2015-06-21,11,20,6,24,7,1158,1158,1158,NA,NA,1199
"P6",132,1581.78886363636,276,12,1459,2015-10-03,18,20,10,39,6,1225.97,1517.89,1516.75,1393.15,NA,1998.99
"P3",150,1131.26713333333,207,7,1149,2015-07-26,9,20,7,29,7,991.85,1044,NA,NA,NA,NA
"P2",600,795.492783333333,101,179,768,2015-04-11,74,8,4,14,6,799.9,799.9,799.9,NA,NA,791.1
"P1",133,1494.42533834586,209,19,1499,2015-07-28,15,8,7,30,2,1454.33,1454.33,1499,NA,1424.05,NA
"P9",130,453.017538461538,197,21,448.89,2015-07-16,34,8,7,28,4,403.2,448,435.43,NA,527.12,469
"P6",40,1782.75,225,2,1836.5,2015-08-13,6,20,8,32,4,1698,1698,1673,NA,NA,1999
"P9",479,449.320876826722,222,152,431.67,2015-08-10,134,8,8,32,1,448,448,443.99,NA,439.12,NA
"P2",456,718.451184210526,227,67,680.99,2015-08-15,56,8,8,32,6,NA,NA,677.98,719.1,NA,699
"P6",132,1581.78886363636,275,18,1459,2015-10-02,15,8,10,39,5,1498.4,1517.89,1517.58,1367.65,NA,1918.8
"P6",76,1929.43947368421,21,20,1894.3,2015-01-21,10,8,1,3,3,1948.99,1948.99,1948.99,2199,NA,1999.9
"P4",43,605.442558139535,206,6,539.9,2015-07-25,9,8,7,29,6,NA,NA,NA,479,NA,629.9
"P8",169,524.337869822485,161,56,499,2015-06-10,24,20,6,23,3,509.99,509.99,509.99,498,NA,498.76
"P1",74,1483.43689189189,193,10,1499,2015-07-12,10,8,7,27,7,1429.9,1429.9,NA,NA,1499,NA
"P7",4195,867.654345649583,20,682,849,2015-01-20,505,20,1,3,2,899,899,899,849,849,849
"P4",128,602.484375,232,23,499.9,2015-08-20,29,8,8,33,4,NA,NA,NA,479,NA,NA
"P7",3059,870.915096436744,114,457,849,2015-04-24,423,20,4,16,5,NA,NA,NA,764.1,NA,NA
"P7",6502,815.289131036604,136,741,776.67,2015-05-16,1281,20,5,19,6,798,798,798,749,849,769
"P3",35,1247.42142857143,254,4,1265.91,2015-09-11,11,20,9,36,5,1139,1139,NA,NA,NA,NA
"P3",54,1395.57074074074,85,10,1383.95,2015-03-26,10,20,3,12,4,1499,1499,NA,NA,1543.9,NA
"P6",53,1746.68339622642,232,5,1673.89,2015-08-20,13,8,8,33,4,1673.91,1699,1506.54,NA,NA,1769
"P6",46,2119.25391304348,42,10,1885.98,2015-02-11,14,20,2,6,3,1884.99,2199,1859,NA,NA,1999
"P5",13,1003.64461538462,130,1,1013.96,2015-05-10,2,20,5,18,7,1069,1069,1069,NA,NA,NA
"P1",134,1482.77947761194,249,13,1499,2015-09-06,11,20,9,35,7,1499,1499,NA,NA,1499,1599.9
"P7",806,793.61570719603,283,109,719.1,2015-10-10,171,8,10,40,6,NA,NA,NA,739.9,756.9,NA
"P3",55,1322.27745454545,119,13,1299,2015-04-29,4,20,4,17,3,1288,1288,NA,NA,1382.25,NA
"P1",161,1523.67298136646,219,18,1499,2015-08-07,22,20,8,31,5,1281.64,1281.64,1424.05,NA,1424.05,NA
"P3",101,1451.90584158416,76,17,1364,2015-03-17,16,9,3,11,2,1449.99,1449.99,1449.99,1499,1274.15,1499
"P2",1490,659.123563758389,253,181,655.9,2015-09-10,144,20,9,36,4,NA,NA,610,799,NA,679.9
"P2",4029,742.702156862745,78,651,699,2015-03-19,1492,20,3,11,4,NA,NA,699,703.2,764.73,699
"P5",67,879.241343283582,215,4,968.6,2015-08-03,2,20,8,31,1,1149,929.9,929,NA,NA,NA
"P7",6971,837.792824558887,124,1260,799,2015-05-04,1929,8,5,18,1,NA,NA,NA,749,773.52,NA
"P6",60,1818.56016666667,94,10,1786.995,2015-04-04,7,8,4,13,6,1799,1749,1738.99,2199,NA,1799
"P7",11025,755.388848072562,230,1962,699,2015-08-18,226,20,8,33,2,739.9,739.9,739.9,681.59,704.88,739
"P2",4497,646.095203468979,245,1319,610,2015-09-02,1302,20,9,35,3,549,549,549,799,NA,852.27
"P6",38,1725.92894736842,218,11,1677,2015-08-06,7,8,8,31,4,1999,1899,1999,NA,NA,NA
"P7",3701,883.150145906512,29,724,849,2015-01-29,445,14,1,4,4,NA,NA,NA,721.65,NA,849
"P5",NA,NA,127,NA,NA,NA,NA,8,5,18,4,1079,1079,1079,NA,NA,NA
"P7",3440,763.527345930233,252,758,699,2015-09-09,82,20,9,36,3,NA,NA,NA,699.9,760.95,NA
"P8",163,463.949018404908,226,18,449,2015-08-14,12,20,8,32,5,448,448,441,459.9,NA,439
"P7",3575,843.921846153846,143,838,776.67,2015-05-23,1248,20,5,20,6,NA,NA,NA,759,738.63,NA
"P9",218,535.922568807339,157,13,499,2015-06-06,22,8,6,22,6,408.51,408.51,431.1,NA,521.13,493.93
"P8",410,486.18956097561,171,30,479,2015-06-20,23,8,6,24,6,479,431.1,468.9,479,NA,491.58
"P8",3530,404.483011331445,257,51,439,2015-09-14,45,20,9,37,1,438.9,438.9,448,NA,NA,449
"P6",82,1931.07756097561,6,15,1914.8,2015-01-06,12,20,1,1,2,2029.9,NA,NA,NA,NA,2799.9
"P8",2451,424.883835169319,279,181,419,2015-10-06,349,20,10,40,2,414.89,414.9,413.99,NA,NA,449.99
"P6",61,1810.50114754098,115,2,1769,2015-04-25,9,20,4,16,6,1778,1798,1798,1699,NA,NA
"P9",971,402.833728115345,286,313,379,2015-10-13,109,8,10,41,2,394,394,394,NA,529,399.99
"P4",608,555.388338815789,243,26,540.55,2015-08-31,7,8,8,35,1,NA,NA,NA,549,NA,655
"P9",2318,401.941842105263,261,388,379,2015-09-18,142,20,9,37,5,433,433,448,NA,529,428
"P2",241,841.163485477178,2,88,829,2015-01-02,23,8,1,0,5,829,829,818.9,829,NA,829
"P2",559,671.358050089445,267,72,665.85,2015-09-24,100,8,9,38,4,NA,629,629,799.9,NA,754.9
"P8",1613,409.27877867328,285,246,388.66,2015-10-12,173,20,10,41,1,395.76,395.78,395.76,NA,NA,399.99
"P3",35,1247.42142857143,256,5,1278.99,2015-09-13,1,20,9,36,7,1232.15,1232.15,1232.15,1319.12,NA,1139
"P5",1319,824.845966641395,267,439,776.67,2015-09-24,400,8,9,38,4,776.67,776.67,776.67,NA,NA,NA
"P1",56,1467.03928571429,117,12,1449,2015-04-27,13,8,4,17,1,1899,1899,NA,NA,NA,NA
"P3",32,1321.3509375,160,6,1278.89,2015-06-09,5,8,6,23,2,1278.87,1169.1,NA,NA,NA,NA
"P7",1257,868.525202863962,18,114,849,2015-01-18,413,8,1,2,7,NA,NA,NA,747.12,849,849
"P9",176,497.883636363636,140,45,476.67,2015-05-20,19,20,5,20,3,498.99,498.99,498.99,NA,599,495
"P1",74,1492.92297297297,265,9,1499,2015-09-22,7,8,9,38,2,1499,1499,1499,NA,1499,NA
"P6",61,1810.50114754098,112,8,1782.79,2015-04-22,10,20,4,16,3,1799,1799,1799,2099,NA,1799
"P3",37,1298.00675675676,150,12,1299,2015-05-30,2,20,5,21,6,1169.1,1169.1,1169.1,1199,NA,1239.9
"P3",31,1193.72096774194,278,7,1166.96,2015-10-05,5,8,10,40,1,967.12,1099,NA,NA,NA,NA
"P7",11025,755.388848072562,229,226,739,2015-08-17,128,8,8,33,1,NA,NA,NA,749,811,NA
"P6",47,1878.21276595745,144,4,1829,2015-05-24,6,20,5,20,7,1999,1999,1646.1,NA,NA,1999
"P3",51,1279.95784313725,262,3,1296.62,2015-09-19,6,8,9,37,6,1139,1209.73,1139,1461.15,NA,1139
"P4",46,577.56847826087,215,6,567.86,2015-08-03,4,8,8,31,1,NA,NA,NA,479,NA,629.9
"P8",4764,417.624334592779,230,581,379,2015-08-18,24,8,8,33,2,448,448,433,413.91,NA,439
"P5",83,934.31578313253,147,13,897.99,2015-05-27,7,8,5,21,3,879.12,899.1,977,NA,NA,NA
"P7",2432,881.438893914474,72,376,849,2015-03-13,609,8,3,10,5,NA,NA,NA,849,NA,NA
"P2",456,718.451184210526,225,57,683,2015-08-13,41,8,8,32,4,NA,NA,638.45,799,NA,699
"P9",3205,421.036458658346,235,32,433,2015-08-23,55,20,8,33,7,432,432,432,NA,499,NA
"P3",267,1134.00936329588,187,54,1099,2015-07-06,29,8,7,27,1,1099,1099,NA,NA,NA,NA
"P8",4764,417.624334592779,232,1031,379,2015-08-20,1616,20,8,33,4,432,432,432,459.9,NA,439
"P8",163,463.949018404908,223,27,449,2015-08-11,38,8,8,32,2,448,448,448,459.9,NA,449.9
"P4",1509,520.820728959576,141,301,474.05,2015-05-21,219,8,5,20,4,NA,NA,NA,569,569,519
"P2",191,695.686073298429,284,24,652.48,2015-10-11,40,20,10,40,7,NA,NA,567.28,799,NA,799.9
"P7",5126,875.25097541943,47,569,839.77,2015-02-16,404,20,2,7,1,869,869,869,849,NA,849
"P6",60,1818.56016666667,91,10,1788.87,2015-04-01,8,20,4,13,3,1738.98,1849.9,1849.9,2199,NA,NA
"P8",3530,404.483011331445,259,818,379,2015-09-16,778,8,9,37,3,433,433,433,NA,NA,428
"P7",4195,867.654345649583,22,550,849,2015-01-22,700,20,1,3,4,NA,NA,NA,849,849,NA
"P2",1490,659.123563758389,251,122,655.99,2015-09-08,740,8,9,36,2,610,610,682,719.91,NA,852.27
"P2",307,722.348729641694,165,37,713.99,2015-06-14,40,8,6,23,7,698.89,698.89,698.89,649,NA,699
"P3",57,1198.23684210526,233,6,1098,2015-08-21,8,20,8,33,5,968.19,1025.14,NA,NA,NA,NA
"P9",1113,427.85850853549,283,123,388.99,2015-10-10,141,20,10,40,6,395.83,395.83,395.83,NA,529,399.99
"P8",410,486.18956097561,171,30,479,2015-06-20,23,20,6,24,6,479,431.1,468.9,479,NA,491.58
"P6",84,1796.5080952381,154,14,1804.05,2015-06-03,14,8,6,22,3,1799.9,1799.9,1799.9,NA,NA,1999
"P3",32,1321.3509375,159,5,1278.93,2015-06-08,3,8,6,23,1,1278.88,1169.1,1169.1,1199,NA,1249.9
"P6",53,1746.68339622642,230,15,1673.94,2015-08-18,11,20,8,33,2,1673.91,1673.91,1673.93,NA,NA,1769
"P8",169,524.337869822485,164,12,512,2015-06-13,10,20,6,23,6,489.88,489.89,489.88,498,NA,495.99
"P6",61,1810.50114754098,111,10,1782.99,2015-04-21,18,8,4,16,2,1899,1899,1892.63,2099,NA,1799
"P4",101,546.113267326733,236,16,499.9,2015-08-24,10,8,8,34,1,NA,NA,NA,529.9,NA,NA
"P2",1012,819.794328063241,68,83,791.1,2015-03-09,146,20,3,10,1,NA,NA,769,829,829,879
"P6",82,1931.07756097561,9,14,1898.85,2015-01-09,7,20,1,1,5,1897.99,1897.99,1897.99,1979.1,NA,2399
"P7",5167,865.888294948713,98,1059,799,2015-04-08,426,20,4,14,3,NA,NA,NA,719.1,747.12,NA
"P7",4416,882.400865036232,79,368,849,2015-03-20,396,8,3,11,5,NA,NA,NA,849,NA,NA
"P1",74,1492.92297297297,264,7,1499,2015-09-21,2,8,9,38,1,1319.12,1319.12,1319.12,NA,1424.05,NA
"P6",61,1846.58114754098,82,13,1748.69,2015-03-23,10,8,3,12,1,1857.95,1798.99,1798.99,1599,NA,1904.7
"P6",53,1746.68339622642,232,5,1673.89,2015-08-20,13,8,8,33,4,1673.91,1699,1673.93,NA,NA,1769
"P6",47,1878.21276595745,139,6,1833.45,2015-05-19,8,8,5,20,2,1779.9,1899,1779.9,NA,NA,1999
"P7",3701,883.150145906512,31,386,849,2015-01-31,558,8,1,4,6,899,899,899,849,NA,849
"P6",83,1933.27734939759,18,4,1898.98,2015-01-18,9,20,1,2,7,1940,1995.9,1979,NA,NA,2369.9
"P8",443,495.175643340858,177,73,479,2015-06-26,71,8,6,25,5,477.9,477.99,477.9,479,NA,493.58
"P4",101,546.113267326733,237,19,499.9,2015-08-25,16,20,8,34,2,NA,NA,NA,499.9,NA,NA
"P6",83,1824.26457831325,79,13,1748.73,2015-03-20,12,8,3,11,5,1857.95,1859,1859,1599,NA,2379.87
"P3",40,1308.558,153,6,1278.965,2015-06-02,6,8,6,22,2,1169.1,1169.1,1169.1,1199,NA,1239.9
"P6",35,1601.18857142857,245,4,1716.425,2015-09-02,8,20,9,35,3,1319.12,1698.94,1349.91,1499,NA,1769
"P7",5446,851.822390745501,5,1109,799,2015-01-05,562,8,1,1,1,NA,NA,NA,703.12,759.05,NA
"P4",1509,520.820728959576,141,301,474.05,2015-05-21,219,20,5,20,4,NA,NA,NA,569,NA,519
"P8",4764,417.624334592779,229,24,449,2015-08-17,17,20,8,33,1,448,448,448,459.9,NA,439
"P6",20,1914.8,4,5,1914.8,2015-01-04,6,8,1,0,7,NA,NA,1898,2199,NA,2229
"P7",4301,779.435989304813,207,397,749,2015-07-26,532,20,7,29,7,NA,NA,NA,749,841,NA
"P3",84,1125.9719047619,212,23,1049,2015-07-31,7,20,7,30,5,1037.9,999,999,1199,NA,1098
"P3",150,1131.26713333333,204,11,1149,2015-07-23,21,8,7,29,4,1089,1089,1089,1149,NA,1098
"P2",1654,771.888796856106,67,146,749,2015-03-08,661,15,3,9,7,NA,NA,679,746.1,729.52,879
"P7",3059,870.915096436744,116,267,849,2015-04-26,322,8,4,16,7,849,849,849,764.1,NA,799
"P8",410,486.18956097561,167,95,479,2015-06-16,82,20,6,24,2,498.99,489.88,512.99,479,NA,491.79
"P3",116,1173.66068965517,186,29,1099,2015-07-05,24,20,7,26,7,1099,1099,1099,1299,NA,1099
"P8",2445,406.591967280164,249,31,439,2015-09-06,35,20,9,35,7,429.9,429.9,429.9,449.91,NA,449
"P9",88,485.890795454545,191,20,464,2015-07-10,24,20,7,27,5,463,467,467,NA,499,NA
"P6",36,1894.1025,30,7,1893.01,2015-01-30,2,20,1,4,5,1897.63,2199,1895.98,NA,NA,2099
"P8",1072,457.292192164179,209,58,437,2015-07-28,78,20,7,30,2,413.01,437,415.06,459.9,NA,449.9
"P6",180,1775.43205555556,60,2,2399,2015-03-01,11,0,3,8,7,1979.1,1979.1,1691.86,2199,NA,1999
"P2",359,875.231086350975,43,68,879,2015-02-12,74,8,2,6,4,NA,NA,799,812.42,829,879
"P9",218,535.922568807339,152,59,442.33,2015-06-01,85,8,6,22,1,431.1,431.1,431.1,NA,521.13,493.97
"P3",57,1198.23684210526,232,8,1309.9,2015-08-20,17,20,8,33,4,1002.36,1025.14,1025.14,NA,NA,NA
"P1",309,1421.33893203883,74,44,1362.5,2015-03-15,41,20,3,10,7,NA,NA,NA,NA,1499,1499
"P4",349,539.157936962751,281,43,484.94,2015-10-08,31,20,10,40,4,NA,NA,NA,492.15,NA,NA
"P6",83,1824.26457831325,77,8,1749,2015-03-18,16,8,3,11,3,1499,1499,1499,NA,NA,1989
"P2",502,721.128047808765,219,46,685.98,2015-08-07,99,8,8,31,5,771,771,771,789.57,NA,852.27
"P4",1451,527.765740868367,137,45,474.05,2015-05-17,339,8,5,19,7,NA,NA,NA,499,NA,NA
"P4",648,533.470015432099,171,177,499,2015-06-20,156,20,6,24,6,NA,NA,NA,569,NA,499
